Wavelength,Intensity
102.13075677752931,32826
104.26378915431815,36580
106.39607753693599,38754
108.52762214439281,40505
110.65842319564763,41094
112.78848090961583,40982
114.91779550516549,40342
117.04636720111557,40109
119.17419621623048,39244
121.30128276923824,38707
123.42762707881593,37719
125.55322936358607,37125
127.67808984213116,36556
129.80220873298458,36055
131.92558625462698,35300
134.04822262549715,34762
136.17011806398659,34381
138.29127278843589,34037
140.4116870171365,34126
142.53136096833805,33485
144.65029486023923,33859
146.76848891098962,33737
148.8859433386915,33451
151.00265836140716,34271
153.11863419714064,33572
155.233871063856,33212
157.3483691794645,33125
159.46212876183381,32949
161.57515002878426,32700
163.68743319808891,31890
165.79897848746805,31890
167.90978611459832,31287
170.01985629711453,30932
172.1291892525951,30558
174.23778519857296,30022
176.34564435254106,29508
178.45276693193409,29620
180.55915315414859,29492
182.66480323653013,28921
184.76971739637338,29069
186.87389585093115,29073
188.97733881741078,29252
191.08004651296687,29465
193.18201915470672,29642
195.28325695969397,29374
197.38376014494497,29921
199.48352892742696,29867
201.58256352405988,30000
203.6808641517182,30263
205.77843102722909,30477
207.87526436737244,30645
209.971364388879,30683
212.06673130843228,30519
214.16136534267571,30654
216.25526670819636,31016
218.34843562154128,30963
220.44087229920478,30602
222.53257695764114,30644
224.62354981325007,30831
226.71379108238943,30590
228.803300981368,30622
230.89207972644908,30550
232.98012753384864,30639
235.06744461972994,30511
237.15403120022347,30954
239.23988749139789,30901
241.32501370928549,31009
243.40941006986395,31511
245.49307678906735,31152
247.57601408278424,31694
249.65822216685956,31347
251.7397012570782,31357
253.82045156919776,31023
255.90047331891037,30697
257.97976672187542,30129
260.0583319936959,29833
262.13616934993479,29668
264.21327900610231,29114
266.28966117766868,28694
268.365316080055,28334
270.44024392862957,27659
272.51444493872623,27396
274.58791932561871,26747
276.6606673045444,26472
278.73268909068975,26257
280.80398489919935,25822
282.87455494516144,25666
284.94439944362239,25237
287.01351860958675,25423
289.08191265800997,25290
291.14958180379654,25014
293.21652626181094,25339
295.28274624686492,25608
297.34824197372836,25663
299.4130136571257,25862
301.47706151172861,25981
303.54038575217055,26446
305.60298659302862,26591
307.66486424884351,27005
309.726018934105,27807
311.78645086325014,28715
313.84616025068681,29693
315.90514731075928,30192
317.96341225777542,30750
320.02095530598854,31135
322.07777666961556,30477
324.13387656282066,30623
326.18925519972254,29707
328.24391279439442,29037
330.29784956086587,28503
332.35106571311189,27642
334.40356146507474,26885
336.45533703063666,26356
338.50639262363984,25784
340.55672845788285,25429
342.60634474711696,25183
344.6552417050425,25148
346.70341954531978,24957
348.75087848155817,24552
350.79761872732342,24691
352.84364049613396,24897
354.88894400146637,24955
356.93352945674451,24929
358.97739707534856,25310
361.02054707061689,25549
363.06297965583872,25792
365.10469504425419,25942
367.14569344906158,26609
369.1859750834119,27161
371.22554016041249,27509
373.26438889311794,27904
375.30252149454464,27890
377.33993817765986,28312
379.37663915538542,28342
381.412624640594,28569
383.44789484612011,28869
385.48244998474183,29329
387.51629026920273,29689
389.54941591218812,30730
391.58182712635062,31440
393.61352412428823,32668
395.64450711855534,34181
397.67477632166083,34858
399.70433194606994,36107
401.733174204197,36718
403.76130330841443,38525
405.78871947104744,40212
407.81542290437756,42351
409.841413820639,45031
411.86669243202232,47414
413.89125895066718,49247
415.91511358867319,49800
417.93825655808723,49548
419.96068807092524,48972
421.98240833913769,48427
424.00341757464594,47126
426.02371598931677,45870
428.04330379497151,44733
430.06218120339327,44022
432.08034842631241,43328
434.09780567541384,42806
436.11455316234424,42952
438.13059109869209,43609
440.14591969601497,45269
442.16053916581404,47655
444.17444971954865,50349
446.18765156863265,52473
448.20014492443624,53741
450.21192999828418,54676
452.22300700144842,54269
454.2333761451664,53566
456.24303764062279,51865
458.25199169895859,50443
460.26023853127117,48951
462.26777834861241,47806
464.27461136198326,47854
466.2807377823483,48737
468.28615782061934,51251
470.29087168766637,54810
472.29487959431572,58776
474.29818175134278,62546
476.30077836948112,64629
478.30266965942246,65396
480.3038558318076,63802
482.30433709723366,59904
484.30411366625594,55316
486.30318574937883,49850
488.301553557063,44533
490.299217299731,40007
492.296177187749,35936
494.29243343144481,33351
496.28798624110459,31959
498.28283582695985,31794
500.27698239920028,31698
502.27042616797735,31370
504.26316734338616,30899
506.25520613548724,29688
508.246542754292,28462
510.23717740976281,27771
512.22711031182189,26808
514.21634167034244,25689
516.20487169515764,25378
518.19270059605333,25075
520.17982858276991,24506
522.16625586500231,24224
524.1519826524,23588
526.13700915457048,23118
528.121335581076,22805
530.10496214142768,22440
532.08788904510038,22375
534.07011650151981,22229
536.05164472006436,22236
538.03247391007244,21793
540.01260428083333,21578
541.99203604159629,21718
543.97076940156148,21212
545.9488045698854,21143
547.92614175568087,20974
549.90278116801164,21271
551.878723015905,21348
553.8539675083357,21397
555.82851485423453,22286
557.80236526249246,22613
559.77551894195312,23606
561.74797610141286,24839
563.71973694962435,26147
565.69080169530025,26737
567.6611705471023,27272
569.63084371365039,27586
571.59982140352076,27237
573.56810382524236,27018
575.53569118730047,27552
577.50258369813491,28158
579.4687815661473,29849
581.434284999681,31734
583.39909420705044,33954
585.36320939651523,34412
587.32663077628968,33010
589.28935855455165,30805
591.25139293942993,28731
593.212734139006,26790
595.17338236132127,25660
597.13333781437177,24641
599.09260070610253,24356
601.05117124442586,23512
603.00904963720131,23132
604.96623609224662,22666
606.92273081733219,22058
608.87853402018482,21545
610.83364590849487,21170
612.78806668989455,20634
614.74179657198147,20363
616.694835762306,19809
618.64718446837651,19759
620.59884289764886,19908
622.54981125754421,20325
624.5000897554346,21299
626.44967859865028,22452
628.398577994476,23235
630.34678815014377,23749
632.2943092728583,23853
634.2411415697643,23107
636.18728524797189,22302
638.13274051454573,21254
640.07750757649956,20381
642.02158664081071,19894
643.96497791440561,19134
645.90768160417247,18784
647.84969791695221,18544
649.7910270595421,18060
651.73166923869394,18011
653.67162466111768,18149
655.61089353347779,17934
657.54947606239148,17984
659.48737245443772,18225
661.42458291614639,18573
663.361107654011,18717
665.29694687447045,19522
667.23210078392367,19767
669.16656958872954,20152
671.10035349519421,20902
673.03345270959289,22054
674.9658674381426,23253
676.89759788702213,23455
678.82864426236847,23181
680.75900677027312,22486
682.68868561678391,21787
684.61768100790141,21375
686.545993149588,20656
688.47362224775679,19737
690.4005685082775,19199
692.32683213697783,18433
694.25241333964186,17782
696.17731232200822,17650
698.10152928977186,17209
700.02506444858591,16896
701.94791800405255,17015
703.87009016174125,17006
705.79158112716686,17076
707.71239110580791,16997
709.63252030309559,17298
711.55196892441563,17416
713.47073717511739,17745
715.38882526049383,17938
717.306233385807,18003
719.222961756268,18722
721.13901057704243,18703
723.05438005325959,18614
724.9690703899978,18355
726.88308179229352,18088
728.79641446514506,17634
730.709068613498,17564
732.6210444422577,17616
734.53234215628981,17681
736.44296196041068,17980
738.35290405939486,18103
740.262168657975,18255
742.17075596083851,18373
744.0786661726288,18835
745.985899497944,18590
747.89245614134234,18249
749.7983363073381,17987
751.70354020039667,17840
753.608068024947,17669
755.51191998536888,17467
757.41509628599852,17451
759.3175971311357,17353
761.21942272502929,17536
763.12057327188631,17778
765.021048975872,18251
766.92085004110049,18638
768.81997667165888,19368
770.71842907157043,19680
772.61620744482934,20383
774.51331199538618,20088
776.4097429271369,19642
778.30550044393931,19121
780.20058474961661,18303
782.09499604793564,17801
783.98873454262684,17590
785.881800437377,17229
787.77419393582386,17433
789.66591524156865,17240
791.55696455816542,17211
793.44734208912814,17510
795.33704803791989,17654
797.226082607971,17500
799.11444600265713,17743
801.00213842532139,17663
802.889160079254,17584
804.77551116771065,17559
806.6611918938961,17475
808.54620246097511,17534
810.43054307206876,17174
812.31421393025994,16868
814.19721523857334,17022
816.07954720000816,16848
817.96121001751089,16709
819.84220389398433,16600
821.7225290322931,16825
823.60218563525268,16863
825.48117390563857,16946
827.35949404618259,17164
829.23714625957109,17264
831.114130748454,17673
832.99044771543049,17548
834.86609736305945,17972
836.74107989385629,18275
838.61539551029637,18285
840.48904441480408,18886
842.3620268097693,19039
844.23434289753459,19503
846.10599288039884,19327
847.97697696061914,18599
849.84729534040889,17969
851.71694822193967,17701
853.58593580733577,17504
855.45425829868509,17435
857.32191589802824,17400
859.18890880736217,17604
861.055237228642,17626
862.920901363781,17538
864.785901414647,17471
866.650237583066,17458
868.5139100708202,17182
870.37691907965382,17042
872.23926481125818,17189
874.10094746728828,17358
875.96196724935908,17409
877.82232435903279,17287
879.6820189978389,17618
881.54105136725957,17496
883.3994216687297,17563
885.2571301036478,17440
887.11417687336871,17489
888.9705621792,17370
890.82628622241282,17379
892.68134920422563,17252
894.53575132582409,17375
896.38949278834662,17415
898.24257379288974,17222
900.09499454050638,17358
901.94675523220212,17301
903.79785606894984,17166
905.64829725166965,17330
907.49807898124709,17356
909.34720145851861,17500
911.19566488428245,17693
913.04346945928773,17930
914.89061538424721,17971
916.73710285982816,18613
918.58293208665782,18971
920.42810326531435,19543
922.2726165963395,19900
924.11647228022775,20261
925.95967051743537,19858
927.80221150837133,19563
929.64409545340459,19590
931.48532255286409,19017
933.32589300702784,19117
935.16580701613748,18725
937.0050647803946,18694
938.84366649994809,18721
940.681612374914,18938
942.51890260536129,18889
944.35553739131319,19339
946.19151693275853,20066
948.02684142964063,20577
949.8615110818555,21247
951.695526089261,22087
953.52888665166756,22070
955.36159296884944,21951
957.19364524053526,21618
959.02504366641,21476
960.85578844612064,21390
962.68587977926109,20404
964.51531786539817,19631
966.3441029040423,18588
968.17223509466749,17673
969.99971463670954,17041
971.8265417295479,16874
973.6527165725347,16866
975.478239364973,16397
977.30311030612211,16759
979.12732959519963,16876
980.95089743138669,16863
982.7738140138099,17336
984.5960795415649,17360
986.41769421369645,17889
988.23865822921471,17692
990.05897178707892,17755
991.8786350862174,17379
993.69764832550027,17327
995.51601170377216,17127
997.33372541982317,17292
999.150789672407,17349
1000.9672046602263,17882
1002.7829705819568,18404
1004.5980876362191,19219
1006.4125560215962,19490
1008.2263759366269,18997
1010.0395475798105,18768
1011.8520711495985,18303
1013.66394684441,18368
1015.4751748626113,18180
1017.2857554025341,18092
1019.0956886624608,18066
1020.9049748406396,17868
1022.7136141352657,17645
1024.5216067445053,17447
1026.32895286647,17307
1028.1356526992349,17542
1029.941706440839,17712
1031.7471142892664,17380
1033.5518764424669,17582
1035.3559930983465,17558
1037.1594644547658,17718
1038.9622907095527,17874
1040.764472060484,17625
1042.5660087052929,17387
1044.3669008416782,16847
1046.1671486672913,17070
1047.966752379747,16604
1049.7657121766042,16633
1051.5640282553995,16807
1053.3617008136116,16748
1055.1587300486844,16853
1056.9551161580184,16938
1058.7508593389648,17023
1060.5459597888512,16999
1062.3404177049433,17383
1064.1342332844742,17418
1065.9274067246315,17504
1067.71993822257,17939
1069.511827975386,18356
1071.3030761801492,18915
1073.093683033876,19475
1074.883648733552,20314
1076.6729734761066,21381
1078.4616574584416,22704
1080.249700877408,23969
1082.037103929817,25203
1083.8238668124377,26492
1085.6099897219992,26825
1087.3954728551835,27198
